,DNA 610,PIC 800,TN DUROC,PIC 337,P-Value,F-Stat
Mort,0.07120307570890917,0.07673283744383042,0.11061735696679169,0.06150644309878558,6.120233282703152e-09,13.95304398224835
ADG,1.7951986475352815,1.7333149956292746,1.7034220038964754,1.770794214663609,1.1103540367109733e-13,21.710214372760728
FC,2.4712310790603893,2.5355783052317222,2.4991519650323504,2.474528543537379,7.347242114710572e-08,12.197225724995938
Tops,0.9122469915182887,0.9116224810276914,0.8730110379571605,0.9199753739911493,1.778150575452762e-05,8.320730281259145
